CR_188_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_189_Contig_0	210	Helicobacter pylori	Helicobacter pylori	99.987	0.0
CR_18_Contig_0	1920107	Aeromonas sp. ASNIH7	Aeromonas sp. ASNIH7	99.144	0.0
CR_18_Contig_1	67780	Edwardsiella ictaluri	Edwardsiella ictaluri	87.837	0.0
CR_18_Contig_2	1920107	Aeromonas sp. ASNIH7	Aeromonas sp. ASNIH7	99.512	0.0
CR_18_Contig_3	648	Aeromonas caviae	Aeromonas caviae	97.847	0.0
CR_18_Contig_4	1636606	Aeromonas sp. ASNIH1	Aeromonas sp. ASNIH1	99.568	0.0
CR_18_Contig_5	1324960	Aeromonas salmonicida subsp. pectinolytica 34mel	Aeromonas salmonicida subsp. pectinolytica 34mel	99.934	0.0
CR_18_Contig_6	80866	Delftia acidovorans	Delftia acidovorans	96.856	0.0
CR_18_Contig_7	1920107	Aeromonas sp. ASNIH7	Aeromonas sp. ASNIH7	98.988	0.0
CR_18_Contig_8	645	Aeromonas salmonicida	Aeromonas salmonicida	95.719	0.0
CR_18_Contig_9	1920107	Aeromonas sp. ASNIH7	Aeromonas sp. ASNIH7	99.380	0.0
CR_190_Contig_0	272560	Burkholderia pseudomallei K96243	Burkholderia pseudomallei K96243	99.846	0.0
CR_190_Contig_1	28450	Burkholderia pseudomallei	Burkholderia pseudomallei	99.824	0.0
CR_191_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	96.560	0.0
CR_191_Contig_1	575	Raoultella planticola	Raoultella planticola	99.986	0.0
CR_191_Contig_2	548	Klebsiella aerogenes	Klebsiella aerogenes	99.730	0.0
CR_191_Contig_3	575	Raoultella planticola	Raoultella planticola	99.990	0.0
CR_192_Contig_0	28901	Salmonella enterica	Salmonella enterica	99.946	0.0
CR_192_Contig_1	1271864	Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069	Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069	99.963	0.0
CR_193_Contig_0	999541	Burkholderia gladioli BSR3	Burkholderia gladioli BSR3	99.207	0.0
CR_193_Contig_1	32009	Burkholderia gladioli pv. gladioli	Burkholderia gladioli pv. gladioli	99.264	0.0
CR_193_Contig_2	32009	Burkholderia gladioli pv. gladioli	Burkholderia gladioli pv. gladioli	99.406	0.0
CR_193_Contig_3	32009	Burkholderia gladioli pv. gladioli	Burkholderia gladioli pv. gladioli	99.361	0.0
CR_194_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.977	0.0
CR_194_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.978	0.0
CR_194_Contig_2	1087440	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	99.975	0.0
CR_195_Contig_0	5061	Aspergillus niger	Aspergillus niger	99.746	0.0
CR_195_Contig_1	5061	Aspergillus niger	Aspergillus niger	98.829	0.0
CR_195_Contig_2	5061	Aspergillus niger	Aspergillus niger	99.740	0.0
CR_195_Contig_3	5061	Aspergillus niger	Aspergillus niger	99.432	0.0
CR_195_Contig_4	5061	Aspergillus niger	Aspergillus niger	99.332	0.0
CR_195_Contig_5	5061	Aspergillus niger	Aspergillus niger	99.334	0.0
CR_195_Contig_6	5061	Aspergillus niger	Aspergillus niger	99.719	0.0
CR_195_Contig_7	5061	Aspergillus niger	Aspergillus niger	99.356	0.0
CR_195_Contig_8	5061	Aspergillus niger	Aspergillus niger	99.919	0.0
CR_195_Contig_9	5061	Aspergillus niger	Aspergillus niger	99.430	0.0
CR_195_Contig_10	5061	Aspergillus niger	Aspergillus niger	99.727	0.0
CR_195_Contig_11	5061	Aspergillus niger	Aspergillus niger	99.699	0.0
CR_195_Contig_12	5061	Aspergillus niger	Aspergillus niger	99.675	0.0
CR_195_Contig_13	5061	Aspergillus niger	Aspergillus niger	98.766	0.0
CR_195_Contig_14	5061	Aspergillus niger	Aspergillus niger	98.448	0.0
CR_195_Contig_15	5061	Aspergillus niger	Aspergillus niger	98.303	0.0
CR_195_Contig_16	5061	Aspergillus niger	Aspergillus niger	89.159	3.51e-153
CR_195_Contig_17	5061	Aspergillus niger	Aspergillus niger	97.122	0.0
CR_195_Contig_18	5061	Aspergillus niger	Aspergillus niger	83.566	3.95e-142
CR_195_Contig_19	5061	Aspergillus niger	Aspergillus niger	97.300	0.0
CR_195_Contig_20	5061	Aspergillus niger	Aspergillus niger	94.122	0.0
CR_195_Contig_21	5061	Aspergillus niger	Aspergillus niger	92.835	0.0
CR_195_Contig_22	5061	Aspergillus niger	Aspergillus niger	97.188	0.0
CR_195_Contig_23	510516	Aspergillus oryzae RIB40	Aspergillus oryzae RIB40	90.809	0.0
CR_195_Contig_24	5061	Aspergillus niger	Aspergillus niger	88.777	0.0
CR_196_Contig_0	562	Escherichia coli	Escherichia coli	99.956	0.0
CR_196_Contig_1	562	Escherichia coli	Escherichia coli	99.987	0.0
CR_197_Contig_0	862969	Streptococcus constellatus subsp. pharyngis C1050	Streptococcus constellatus subsp. pharyngis C1050	96.990	0.0
CR_198_Contig_0	669	Vibrio harveyi	Vibrio harveyi	98.755	0.0
CR_198_Contig_1	669	Vibrio harveyi	Vibrio harveyi	99.095	0.0
CR_199_Contig_0	571	Klebsiella oxytoca	Klebsiella oxytoca	99.971	0.0
CR_199_Contig_1	571	Klebsiella oxytoca	Klebsiella oxytoca	99.932	0.0
CR_199_Contig_2	575	Raoultella planticola	Raoultella planticola	99.966	0.0
CR_199_Contig_3	571	Klebsiella oxytoca	Klebsiella oxytoca	99.977	0.0
CR_199_Contig_4	571	Klebsiella oxytoca	Klebsiella oxytoca	99.971	0.0
CR_199_Contig_5	571	Klebsiella oxytoca	Klebsiella oxytoca	99.274	0.0
CR_199_Contig_6	571	Klebsiella oxytoca	Klebsiella oxytoca	99.981	0.0
CR_19_Contig_0	2018067	Pseudomonas sp. FDAARGOS_380	Pseudomonas sp. FDAARGOS_380	100.000	0.0
CR_1_Contig_0	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.813	0.0
CR_1_Contig_1	1429044	Vibrio parahaemolyticus UCM-V493	Vibrio parahaemolyticus UCM-V493	99.641	0.0
CR_1_Contig_2	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.927	0.0
CR_1_Contig_3	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.976	0.0
CR_1_Contig_4	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.901	0.0
CR_1_Contig_5	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.891	0.0
CR_1_Contig_6	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.992	0.0
CR_1_Contig_7	670	Vibrio parahaemolyticus	Vibrio parahaemolyticus	99.983	0.0
CR_200_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.984	0.0
CR_200_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.828	0.0
CR_200_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	99.870	0.0
CR_200_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	99.971	0.0
CR_201_Contig_0	186538	Zaire ebolavirus	Zaire ebolavirus	99.974	0.0
CR_202_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.995	0.0
CR_203_Contig_0	263	Francisella tularensis	Francisella tularensis	99.932	0.0
CR_203_Contig_1	510831	Francisella tularensis subsp. tularensis NE061598	Francisella tularensis subsp. tularensis NE061598	99.989	0.0
CR_204_Contig_0	669	Vibrio harveyi	Vibrio harveyi	99.999	0.0
CR_204_Contig_1	669	Vibrio harveyi	Vibrio harveyi	99.999	0.0
CR_205_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.991	0.0
CR_205_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.994	0.0
CR_205_Contig_2	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.983	0.0
CR_205_Contig_3	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.996	0.0
CR_205_Contig_4	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.995	0.0
CR_205_Contig_5	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.988	0.0
CR_206_Contig_0	672	Vibrio vulnificus	Vibrio vulnificus	98.518	0.0
CR_206_Contig_1	672	Vibrio vulnificus	Vibrio vulnificus	99.056	0.0
CR_207_Contig_0	1176492	Burkholderia glumae LMG 2196 = ATCC 33617	Burkholderia glumae LMG 2196 = ATCC 33617	99.995	0.0
CR_207_Contig_1	1176492	Burkholderia glumae LMG 2196 = ATCC 33617	Burkholderia glumae LMG 2196 = ATCC 33617	99.993	0.0
CR_207_Contig_2	1176492	Burkholderia glumae LMG 2196 = ATCC 33617	Burkholderia glumae LMG 2196 = ATCC 33617	99.997	0.0
CR_207_Contig_3	1176492	Burkholderia glumae LMG 2196 = ATCC 33617	Burkholderia glumae LMG 2196 = ATCC 33617	99.966	0.0
CR_208_Contig_0	64320	Zika virus	Zika virus	99.879	0.0
CR_209_Contig_0	1270	Micrococcus luteus	Micrococcus luteus	99.646	0.0
CR_20_Contig_0	1639	Listeria monocytogenes	Listeria monocytogenes	98.539	0.0
CR_20_Contig_1	1196161	Listeria monocytogenes serotype 4b str. 81-0861	Listeria monocytogenes serotype 4b str. 81-0861	98.043	0.0
CR_20_Contig_2	1196162	Listeria monocytogenes serotype 4b str. 10-0809	Listeria monocytogenes serotype 4b str. 10-0809	99.052	0.0
CR_20_Contig_3	265669	Listeria monocytogenes serotype 4b str. F2365	Listeria monocytogenes serotype 4b str. F2365	97.668	0.0
CR_20_Contig_4	265669	Listeria monocytogenes serotype 4b str. F2365	Listeria monocytogenes serotype 4b str. F2365	99.909	0.0
CR_210_Contig_0	64320	Zika virus	Zika virus	100.000	9.22e-112
CR_210_Contig_1	64320	Zika virus	Zika virus	99.878	0.0
CR_210_Contig_2	64320	Zika virus	Zika virus	99.857	0.0
CR_211_Contig_0	624	Shigella sonnei	Shigella sonnei	100.000	0.0
CR_211_Contig_1	624	Shigella sonnei	Shigella sonnei	100.000	0.0
CR_211_Contig_2	624	Shigella sonnei	Shigella sonnei	100.000	0.0
CR_211_Contig_3	624	Shigella sonnei	Shigella sonnei	99.993	0.0
CR_211_Contig_4	624	Shigella sonnei	Shigella sonnei	99.874	0.0
CR_211_Contig_5	624	Shigella sonnei	Shigella sonnei	99.998	0.0
CR_212_Contig_0	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	98.691	0.0
CR_212_Contig_1	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.301	0.0
CR_212_Contig_2	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.996	0.0
CR_212_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	99.997	0.0
CR_212_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	99.897	0.0
CR_212_Contig_5	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.995	0.0
CR_212_Contig_6	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.999	0.0
CR_212_Contig_7	1280	Staphylococcus aureus	Staphylococcus aureus	99.963	0.0
CR_212_Contig_8	1280	Staphylococcus aureus	Staphylococcus aureus	99.910	0.0
CR_212_Contig_9	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_212_Contig_10	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.903	0.0
CR_212_Contig_11	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_212_Contig_12	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.955	0.0
CR_212_Contig_13	1280	Staphylococcus aureus	Staphylococcus aureus	99.999	0.0
CR_213_Contig_0	59201	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	87.826	0.0
CR_213_Contig_1	569	Hafnia alvei	Hafnia alvei	98.862	0.0
CR_213_Contig_2	1453496	Hafnia alvei FB1	Hafnia alvei FB1	94.355	0.0
CR_214_Contig_0	50719	Vibrio diabolicus	Vibrio diabolicus	99.930	0.0
CR_214_Contig_1	50719	Vibrio diabolicus	Vibrio diabolicus	99.996	0.0
CR_214_Contig_2	50719	Vibrio diabolicus	Vibrio diabolicus	99.912	0.0
CR_215_Contig_0	747	Pasteurella multocida	Pasteurella multocida	99.965	0.0
CR_215_Contig_1	747	Pasteurella multocida	Pasteurella multocida	99.961	0.0
CR_215_Contig_2	747	Pasteurella multocida	Pasteurella multocida	99.950	0.0
CR_215_Contig_3	747	Pasteurella multocida	Pasteurella multocida	99.942	0.0
CR_215_Contig_4	747	Pasteurella multocida	Pasteurella multocida	99.960	0.0
CR_215_Contig_5	747	Pasteurella multocida	Pasteurella multocida	99.835	0.0
CR_215_Contig_6	747	Pasteurella multocida	Pasteurella multocida	97.748	0.0
CR_216_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_216_Contig_1	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	93.818	0.0
CR_216_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_217_Contig_0	40324	Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	99.989	0.0
CR_218_Contig_0	1353	Enterococcus gallinarum	Enterococcus gallinarum	99.994	0.0
CR_218_Contig_1	1353	Enterococcus gallinarum	Enterococcus gallinarum	99.997	0.0
CR_219_Contig_0	1338035	Campylobacter jejuni 32488	Campylobacter jejuni 32488	99.009	0.0
CR_219_Contig_1	197	Campylobacter jejuni	Campylobacter jejuni	98.174	0.0
CR_21_Contig_0	1303	Streptococcus oralis	Streptococcus oralis	96.464	0.0
CR_21_Contig_1	1303	Streptococcus oralis	Streptococcus oralis	97.061	0.0
CR_220_Contig_0	1354	Enterococcus hirae	Enterococcus hirae	99.993	0.0
CR_221_Contig_0	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.992	0.0
CR_221_Contig_1	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.996	0.0
CR_222_Contig_0	126385	Providencia alcalifaciens	Providencia alcalifaciens	99.964	0.0
CR_223_Contig_0	546367	Hafnia paralvei	Hafnia paralvei	99.994	0.0
CR_224_Contig_0	83655	Leclercia adecarboxylata	Leclercia adecarboxylata	99.335	0.0
CR_224_Contig_1	35703	Citrobacter amalonaticus	Citrobacter amalonaticus	93.855	0.0
CR_225_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.986	0.0
CR_225_Contig_1	562	Escherichia coli	Escherichia coli	99.455	0.0
CR_225_Contig_2	61647	Pluralibacter gergoviae	Pluralibacter gergoviae	98.996	0.0
CR_226_Contig_0	186538	Zaire ebolavirus	Zaire ebolavirus	99.995	0.0
CR_227_Contig_0	59201	Salmonella enterica subsp. enterica	Salmonella enterica subsp. enterica	99.980	0.0
CR_227_Contig_1	85569	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	Salmonella enterica subsp. enterica serovar Typhimurium str. DT104	99.977	0.0
CR_228_Contig_0	360102	Yersinia pestis Antiqua	Yersinia pestis Antiqua	99.998	0.0
CR_228_Contig_1	349746	Yersinia pestis Angola	Yersinia pestis Angola	99.906	0.0
CR_228_Contig_2	360102	Yersinia pestis Antiqua	Yersinia pestis Antiqua	99.999	0.0
CR_228_Contig_3	360102	Yersinia pestis Antiqua	Yersinia pestis Antiqua	99.911	0.0
CR_229_Contig_0	333849	Enterococcus faecium DO	Enterococcus faecium DO	98.314	0.0
CR_229_Contig_1	1352	Enterococcus faecium	Enterococcus faecium	99.913	0.0
CR_229_Contig_2	1352	Enterococcus faecium	Enterococcus faecium	99.922	0.0
CR_229_Contig_3	1155766	Enterococcus faecium Aus0004	Enterococcus faecium Aus0004	99.042	0.0
CR_229_Contig_4	1352	Enterococcus faecium	Enterococcus faecium	99.964	0.0
CR_229_Contig_5	1352	Enterococcus faecium	Enterococcus faecium	98.319	0.0
CR_229_Contig_6	1352	Enterococcus faecium	Enterococcus faecium	99.694	0.0
CR_229_Contig_7	333849	Enterococcus faecium DO	Enterococcus faecium DO	98.744	0.0
CR_22_Contig_0	571	Klebsiella oxytoca	Klebsiella oxytoca	99.993	0.0
CR_22_Contig_1	571	Klebsiella oxytoca	Klebsiella oxytoca	99.994	0.0
CR_230_Contig_0	562	Escherichia coli	Escherichia coli	99.905	0.0
CR_230_Contig_1	83334	Escherichia coli O157:H7	Escherichia coli O157:H7	99.985	0.0
CR_230_Contig_2	194948	Escherichia Stx1 converting phage	Escherichia Stx1 converting phage	99.788	0.0
CR_231_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.986	0.0
CR_231_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.973	0.0
CR_231_Contig_2	1006543	Staphylococcus aureus subsp. aureus T0131	Staphylococcus aureus subsp. aureus T0131	99.890	0.0
CR_231_Contig_3	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.891	0.0
CR_231_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	99.991	0.0
CR_231_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	99.997	0.0
CR_231_Contig_6	1280	Staphylococcus aureus	Staphylococcus aureus	99.541	0.0
CR_231_Contig_7	1280	Staphylococcus aureus	Staphylococcus aureus	99.560	0.0
CR_231_Contig_8	1280	Staphylococcus aureus	Staphylococcus aureus	99.980	0.0
CR_231_Contig_9	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_231_Contig_10	1280	Staphylococcus aureus	Staphylococcus aureus	99.965	0.0
CR_231_Contig_11	1381115	Staphylococcus aureus subsp. aureus Tager 104	Staphylococcus aureus subsp. aureus Tager 104	99.119	0.0
CR_231_Contig_12	1280	Staphylococcus aureus	Staphylococcus aureus	99.981	0.0
CR_232_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.967	0.0
CR_232_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.985	0.0
CR_232_Contig_2	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.977	0.0
CR_232_Contig_3	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.992	0.0
CR_232_Contig_4	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.987	0.0
CR_233_Contig_0	565995	Bundibugyo ebolavirus	Bundibugyo ebolavirus	100.000	0.0
CR_234_Contig_0	28450	Burkholderia pseudomallei	Burkholderia pseudomallei	99.734	0.0
CR_234_Contig_1	28450	Burkholderia pseudomallei	Burkholderia pseudomallei	99.348	0.0
CR_235_Contig_0	747	Pasteurella multocida	Pasteurella multocida	100.000	0.0
CR_236_Contig_0	93062	Staphylococcus aureus subsp. aureus COL	Staphylococcus aureus subsp. aureus COL	99.995	0.0
CR_237_Contig_0	90105	Salmonella enterica subsp. enterica serovar Saintpaul	Salmonella enterica subsp. enterica serovar Saintpaul	100.000	0.0
CR_238_Contig_0	562	Escherichia coli	Escherichia coli	99.998	0.0
CR_238_Contig_1	562	Escherichia coli	Escherichia coli	99.321	0.0
CR_238_Contig_2	562	Escherichia coli	Escherichia coli	99.939	0.0
CR_238_Contig_3	562	Escherichia coli	Escherichia coli	99.942	0.0
CR_238_Contig_4	562	Escherichia coli	Escherichia coli	99.987	0.0
CR_238_Contig_5	562	Escherichia coli	Escherichia coli	99.075	0.0
CR_238_Contig_6	562	Escherichia coli	Escherichia coli	99.475	0.0
CR_238_Contig_7	562	Escherichia coli	Escherichia coli	99.909	0.0
CR_238_Contig_8	562	Escherichia coli	Escherichia coli	99.145	0.0
CR_238_Contig_9	562	Escherichia coli	Escherichia coli	99.978	0.0
CR_238_Contig_10	562	Escherichia coli	Escherichia coli	99.944	0.0
CR_238_Contig_11	562	Escherichia coli	Escherichia coli	99.961	0.0
CR_238_Contig_12	562	Escherichia coli	Escherichia coli	99.902	0.0
CR_238_Contig_13	562	Escherichia coli	Escherichia coli	99.509	0.0
CR_238_Contig_14	562	Escherichia coli	Escherichia coli	100.000	0.0
CR_238_Contig_15	562	Escherichia coli	Escherichia coli	99.959	0.0
CR_238_Contig_16	562	Escherichia coli	Escherichia coli	99.975	0.0
CR_238_Contig_17	562	Escherichia coli	Escherichia coli	99.985	0.0
CR_238_Contig_18	562	Escherichia coli	Escherichia coli	99.966	0.0
CR_239_Contig_0	1352	Enterococcus faecium	Enterococcus faecium	99.774	0.0
CR_239_Contig_1	1352	Enterococcus faecium	Enterococcus faecium	98.903	0.0
CR_239_Contig_2	1352	Enterococcus faecium	Enterococcus faecium	99.839	0.0
CR_239_Contig_3	1352	Enterococcus faecium	Enterococcus faecium	98.147	0.0
CR_239_Contig_4	1155766	Enterococcus faecium Aus0004	Enterococcus faecium Aus0004	99.897	0.0
CR_23_Contig_0	61651	Serratia ficaria	Serratia ficaria	86.374	0.0
CR_23_Contig_1	615	Serratia marcescens	Serratia marcescens	84.825	0.0
CR_23_Contig_2	61651	Serratia ficaria	Serratia ficaria	90.989	0.0
CR_23_Contig_3	573	Klebsiella pneumoniae	Klebsiella pneumoniae	97.233	0.0
CR_23_Contig_4	554	Pectobacterium carotovorum	Pectobacterium carotovorum	94.231	0.0
CR_23_Contig_5	615	Serratia marcescens	Serratia marcescens	87.206	0.0
CR_240_Contig_0	93218	Pandoraea apista	Pandoraea apista	99.994	0.0
CR_241_Contig_0	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	99.909	0.0
CR_242_Contig_0	582	Morganella morganii	Morganella morganii	100.000	0.0
CR_242_Contig_1	582	Morganella morganii	Morganella morganii	99.291	0.0
CR_242_Contig_2	582	Morganella morganii	Morganella morganii	100.000	0.0
CR_243_Contig_0	631	Yersinia intermedia	Yersinia intermedia	99.975	0.0
CR_244_Contig_0	1290	Staphylococcus hominis	Staphylococcus hominis	100.000	0.0
CR_244_Contig_1	1290	Staphylococcus hominis	Staphylococcus hominis	100.000	0.0
CR_244_Contig_2	1290	Staphylococcus hominis	Staphylococcus hominis	100.000	0.0
CR_244_Contig_3	1290	Staphylococcus hominis	Staphylococcus hominis	99.987	0.0
CR_244_Contig_4	1290	Staphylococcus hominis	Staphylococcus hominis	98.832	0.0
CR_244_Contig_5	1290	Staphylococcus hominis	Staphylococcus hominis	99.838	0.0
CR_244_Contig_6	1290	Staphylococcus hominis	Staphylococcus hominis	100.000	0.0
CR_245_Contig_0	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.980	0.0
CR_245_Contig_1	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.981	0.0
CR_246_Contig_0	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	100.000	0.0
CR_246_Contig_1	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	100.000	0.0
CR_246_Contig_2	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	100.000	0.0
CR_247_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.821	0.0
CR_247_Contig_1	574	Klebsiella pneumoniae subsp. ozaenae	Klebsiella pneumoniae subsp. ozaenae	99.969	0.0
CR_247_Contig_2	550	Enterobacter cloacae	Enterobacter cloacae	99.537	0.0
CR_248_Contig_0	1117645	Elizabethkingia anophelis	Elizabethkingia anophelis	99.999	0.0
CR_249_Contig_0	562	Escherichia coli	Escherichia coli	99.892	0.0
CR_249_Contig_1	562	Escherichia coli	Escherichia coli	99.979	0.0
CR_249_Contig_2	562	Escherichia coli	Escherichia coli	99.992	0.0
CR_249_Contig_3	562	Escherichia coli	Escherichia coli	99.978	0.0
CR_24_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.989	0.0
CR_24_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.988	0.0
CR_24_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	99.992	0.0
CR_24_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	98.948	0.0
CR_24_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	99.929	0.0
CR_24_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	99.686	0.0
CR_250_Contig_0	584	Proteus mirabilis	Proteus mirabilis	99.998	0.0
CR_251_Contig_0	548	Klebsiella aerogenes	Klebsiella aerogenes	99.989	0.0
CR_252_Contig_0	57706	Citrobacter braakii	Citrobacter braakii	99.996	0.0
CR_253_Contig_0	584	Proteus mirabilis	Proteus mirabilis	99.994	0.0
CR_253_Contig_1	584	Proteus mirabilis	Proteus mirabilis	99.971	0.0
CR_253_Contig_2	584	Proteus mirabilis	Proteus mirabilis	99.989	0.0
CR_254_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.999	0.0
CR_255_Contig_0	28035	Staphylococcus lugdunensis	Staphylococcus lugdunensis	99.997	0.0
CR_256_Contig_0	1311	Streptococcus agalactiae	Streptococcus agalactiae	99.993	0.0
CR_257_Contig_0	28901	Salmonella enterica	Salmonella enterica	99.987	0.0
CR_257_Contig_1	1271862	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- str. CFSAN001921	99.989	0.0
CR_257_Contig_2	28901	Salmonella enterica	Salmonella enterica	99.984	0.0
CR_257_Contig_3	28901	Salmonella enterica	Salmonella enterica	99.980	0.0
CR_257_Contig_4	28901	Salmonella enterica	Salmonella enterica	99.907	0.0
CR_257_Contig_5	28901	Salmonella enterica	Salmonella enterica	99.965	0.0
CR_258_Contig_0	518	Bordetella bronchiseptica	Bordetella bronchiseptica	99.989	0.0
CR_259_Contig_0	485	Neisseria gonorrhoeae	Neisseria gonorrhoeae	99.954	0.0
CR_25_Contig_0	575	Raoultella planticola	Raoultella planticola	99.903	0.0
CR_25_Contig_1	575	Raoultella planticola	Raoultella planticola	99.967	0.0
CR_25_Contig_2	575	Raoultella planticola	Raoultella planticola	99.962	0.0
CR_260_Contig_0	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.989	0.0
CR_260_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.981	0.0
CR_261_Contig_0	13373	Burkholderia mallei	Burkholderia mallei	99.996	0.0
CR_261_Contig_1	13373	Burkholderia mallei	Burkholderia mallei	99.997	0.0
CR_262_Contig_0	673	Grimontia hollisae	Grimontia hollisae	99.995	0.0
CR_262_Contig_1	673	Grimontia hollisae	Grimontia hollisae	99.996	0.0
CR_263_Contig_0	1305849	Enterococcus faecium Aus0085	Enterococcus faecium Aus0085	97.616	0.0
CR_263_Contig_1	1351	Enterococcus faecalis	Enterococcus faecalis	96.128	0.0
CR_263_Contig_2	160453	Enterococcus gilvus	Enterococcus gilvus	96.990	0.0
CR_263_Contig_3	1287066	Enterococcus faecalis DENG1	Enterococcus faecalis DENG1	98.693	0.0
CR_264_Contig_0	588	Providencia stuartii	Providencia stuartii	99.608	0.0
CR_264_Contig_1	584	Proteus mirabilis	Proteus mirabilis	96.187	0.0
CR_264_Contig_2	548	Klebsiella aerogenes	Klebsiella aerogenes	98.021	0.0
CR_264_Contig_3	548	Klebsiella aerogenes	Klebsiella aerogenes	98.326	0.0
CR_264_Contig_4	562	Escherichia coli	Escherichia coli	99.974	0.0
CR_265_Contig_0	1938820	Serratia sp. JKS000199	Serratia sp. JKS000199	99.145	0.0
CR_265_Contig_1	615	Serratia marcescens	Serratia marcescens	99.371	0.0
